Product Name,Price
"MOTOROLA g35 5G (Guava Red, 128 GB)","₹9,999"
"realme C61 (Marble Black, 64 GB)","₹7,699"
"vivo T4x 5G (Pronto Purple, 128 GB)","₹14,999"
"realme C61 (Marble Black, 128 GB)","₹8,199"
"vivo T4x 5G (Marine Blue, 128 GB)","₹13,999"
"Infinix Note 40X 5G (Lime Green, 256 GB)","₹13,999"
"Motorola g45 5G (Brilliant Blue, 128 GB)","₹12,999"
"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹9,999"
"Motorola g45 5G (Brilliant Blue, 128 GB)","₹10,999"
"REDMI A3X (Ocean Green, 64 GB)","₹6,199"
"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)","₹22,999"
"Motorola g45 5G (Pink Lavender, 128 GB)","₹12,999"
"realme C61 (Safari Green, 128 GB)","₹8,199"
"Motorola g45 5G (Brilliant Green, 128 GB)","₹12,999"
"POCO C61 (Ethereal Blue, 64 GB)","₹7,499"
"realme P2 Pro 5G (Eagle Grey, 128 GB)","₹18,999"
"SAMSUNG Galaxy F05 (Twilight Blue, 64 GB)","₹6,499"
"realme P1 5G (Feather Blue, 128 GB)","₹13,999"
"Motorola Edge 50 Fusion (Forest Blue, 256 GB)","₹24,999"
"realme P2 Pro 5G (Parrot Green, 512 GB)","₹23,999"
"vivo T4x 5G (Marine Blue, 256 GB)","₹16,999"
"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","₹24,999"
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,599"
"POCO M7 5G (Ocean Blue, 128 GB)","₹9,999"
